111748	[u'k__Bacteria'	 u'p__Gemmatimonadetes'	 u'c__Gemmatimonadetes'					0
251133	[u'k__Bacteria'	 u'p__Nitrospirae'	 u'c__Nitrospira'		1.8			32.0855615
1106498	[u'k__Bacteria'	 u'p__Nitrospirae'	 u'c__Nitrospira'					0
4469039	[u'k__Bacteria'	 u'p__Planctomycetes'	 u'c__Planctomycetia'		3.1			55.25846702
581403	[u'k__Bacteria'	 u'p__Planctomycetes'	 u'c__Planctomycetia'					0
821747	[u'k__Bacteria'	 u'p__Planctomycetes'	 u'c__Planctomycetia'					0
1114525	[u'k__Bacteria'	 u'p__Planctomycetes'	 u'c__Planctomycetia'					0
227239	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Alphaproteobacteria'		10.9			194.2959002
4345857	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Deltaproteobacteria'		6.6			117.6470588
591340	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Betaproteobacteria'		6.3			112.2994652
804948	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Gammaproteobacteria'		5.5			98.03921569
156154	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Alphaproteobacteria'					0
955576	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Alphaproteobacteria'					0
817119	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Alphaproteobacteria'					0
849118	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Alphaproteobacteria'					0
331835	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Alphaproteobacteria'					0
545247	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Alphaproteobacteria'					0
132233	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Alphaproteobacteria'					0
589975	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Alphaproteobacteria'					0
751555	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Alphaproteobacteria'					0
562311	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Alphaproteobacteria'					0
1105814	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Alphaproteobacteria'					0
547097	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Alphaproteobacteria'					0
